annotation_set	foreground_top_k	topGO_algorithm	topGO_statistic	nodeSize	multiple_testing_correction	label	ontology	GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	p	algorithm	Members_n	MembersStr	definition
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0006635	fatty acid beta-oxidation	26	13	1.88	6.914893617021277	5.1e-9	weight01	13	N13.HOG0002821;N13.HOG0005679;N13.HOG0006063;N13.HOG0006510;N13.HOG0007413;N13.HOG0007686;N13.HOG0007797;N13.HOG0007897;N13.HOG0007931;N13.HOG0008139;N13.HOG0008494;N13.HOG0008677;N13.HOG0008908	A fatty acid oxidation process that results in the complete oxidation of a long-chain fatty acid. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and occurs by successive cycles of reactions during each of which the fatty acid is shortened by a two-carbon fragment removed as acetyl coenzyme A; the cycle continues until only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively).
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0006805	xenobiotic metabolic process	229	45	16.58	2.7141133896260556	1.3e-8	weight01	45	N13.HOG0001720;N13.HOG0001742;N13.HOG0001967;N13.HOG0002474;N13.HOG0002708;N13.HOG0002709;N13.HOG0002865;N13.HOG0003761;N13.HOG0003997;N13.HOG0004383;N13.HOG0004659;N13.HOG0004983;N13.HOG0005080;N13.HOG0005107;N13.HOG0005222;N13.HOG0005558;N13.HOG0005679;N13.HOG0005767;N13.HOG0005834;N13.HOG0005897;N13.HOG0005899;N13.HOG0006012;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006510;N13.HOG0006699;N13.HOG0006706;N13.HOG0006707;N13.HOG0006806;N13.HOG0007164;N13.HOG0007555;N13.HOG0007575;N13.HOG0007840;N13.HOG0007988;N13.HOG0008012;N13.HOG0008016;N13.HOG0008484;N13.HOG0008882;N13.HOG0009118;N13.HOG0010084;N13.HOG0011003;N13.HOG0011999	The chemical reactions and pathways involving a xenobiotic compound, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0051262	protein tetramerization	36	14	2.61	5.363984674329502	7.1e-8	weight01	14	N13.HOG0002709;N13.HOG0002756;N13.HOG0004055;N13.HOG0004983;N13.HOG0005222;N13.HOG0005558;N13.HOG0006106;N13.HOG0006699;N13.HOG0006880;N13.HOG0006944;N13.HOG0007453;N13.HOG0007897;N13.HOG0008494;N13.HOG0009118	The formation of a protein tetramer, a macromolecular structure consisting of four noncovalently associated identical or nonidentical subunits.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0051260	protein homooligomerization	81	19	5.87	3.2367972742759794	3e-6	weight01	19	N13.HOG0002352;N13.HOG0002756;N13.HOG0004983;N13.HOG0005169;N13.HOG0005222;N13.HOG0005512;N13.HOG0005558;N13.HOG0005899;N13.HOG0006063;N13.HOG0006415;N13.HOG0006699;N13.HOG0007453;N13.HOG0007897;N13.HOG0008332;N13.HOG0008434;N13.HOG0008494;N13.HOG0009118;N13.HOG0009420;N13.HOG0009571	The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of identical component monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0046365	monosaccharide catabolic process	20	9	1.45	6.206896551724138	4e-6	weight01	9	N13.HOG0001742;N13.HOG0001745;N13.HOG0002865;N13.HOG0005629;N13.HOG0006174;N13.HOG0006298;N13.HOG0006783;N13.HOG0007840;N13.HOG0008484	The chemical reactions and pathways resulting in the breakdown of monosaccharides, polyhydric alcohols containing either an aldehyde or a keto group and between three to ten or more carbon atoms.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	44	13	3.19	4.075235109717869	7.7e-6	weight01	13	N13.HOG0001742;N13.HOG0002474;N13.HOG0002865;N13.HOG0005767;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006806;N13.HOG0007469;N13.HOG0007575;N13.HOG0007840;N13.HOG0008484	The chemical reactions and pathways resulting in the formation of purine ribonucleoside monophosphate, a compound consisting of a purine base linked to a ribose sugar esterified with phosphate on the sugar.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0006767	water-soluble vitamin metabolic process	28	10	2.03	4.926108374384237	1.4e-5	weight01	10	N13.HOG0001720;N13.HOG0001745;N13.HOG0002563;N13.HOG0005080;N13.HOG0005767;N13.HOG0005897;N13.HOG0006012;N13.HOG0006699;N13.HOG0008016;N13.HOG0009118	NA
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0043648	dicarboxylic acid metabolic process	41	12	2.97	4.04040404040404	1.9e-5	weight01	12	N13.HOG0001967;N13.HOG0002709;N13.HOG0003997;N13.HOG0005438;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006699;N13.HOG0006902;N13.HOG0008012;N13.HOG0009118;N13.HOG0011999	The chemical reactions and pathways involving dicarboxylic acids, any organic acid containing two carboxyl (COOH) groups or anions (COO-).
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0170035	L-amino acid catabolic process	29	10	2.1	4.761904761904762	2e-5	weight01	10	N13.HOG0001967;N13.HOG0005222;N13.HOG0005438;N13.HOG0005902;N13.HOG0006706;N13.HOG0008016;N13.HOG0008139;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	NA
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:1901137	carbohydrate derivative biosynthetic process	228	41	16.51	2.483343428225318	2.4e-5	weight01	41	N13.HOG0001742;N13.HOG0001745;N13.HOG0002474;N13.HOG0002563;N13.HOG0002865;N13.HOG0003614;N13.HOG0004055;N13.HOG0004383;N13.HOG0005629;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006468;N13.HOG0006495;N13.HOG0006518;N13.HOG0006783;N13.HOG0006806;N13.HOG0006946;N13.HOG0007037;N13.HOG0007211;N13.HOG0007450;N13.HOG0007469;N13.HOG0007555;N13.HOG0007575;N13.HOG0007789;N13.HOG0007833;N13.HOG0007840;N13.HOG0008133;N13.HOG0008395;N13.HOG0008484;N13.HOG0008502;N13.HOG0008679;N13.HOG0009118;N13.HOG0009991;N13.HOG0010849;N13.HOG0011005	NA
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0006081	aldehyde metabolic process	25	9	1.81	4.972375690607735	3.5e-5	weight01	9	N13.HOG0001745;N13.HOG0002865;N13.HOG0005080;N13.HOG0005902;N13.HOG0006298;N13.HOG0008012;N13.HOG0008484;N13.HOG0008818;N13.HOG0011003	The chemical reactions and pathways involving aldehydes, any organic compound with the formula R-CH=O, as carried out by individual cells.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	SC_pos	BP	GO:0090407	organophosphate biosynthetic process	250	41	18.1	2.2651933701657456	4.1e-5	weight01	41	N13.HOG0001742;N13.HOG0001745;N13.HOG0002474;N13.HOG0002709;N13.HOG0002865;N13.HOG0003437;N13.HOG0003614;N13.HOG0004055;N13.HOG0004383;N13.HOG0005080;N13.HOG0005461;N13.HOG0005512;N13.HOG0005629;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006180;N13.HOG0006298;N13.HOG0006495;N13.HOG0006518;N13.HOG0006783;N13.HOG0006806;N13.HOG0006946;N13.HOG0007211;N13.HOG0007450;N13.HOG0007469;N13.HOG0007555;N13.HOG0007575;N13.HOG0007592;N13.HOG0007840;N13.HOG0008012;N13.HOG0008109;N13.HOG0008395;N13.HOG0008454;N13.HOG0008484;N13.HOG0008502;N13.HOG0009118	The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose.
