GO.ID	Term	ontology	HOG	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment
GO:0033387	putrescine biosynthetic process from arginine, via ornithine	BP	N0.HOG0000504	3	8.39423e-05	0.0022	0.0022	1	0.00215169445938677	464.75
GO:1905268	negative regulation of chromatin organization	BP	N0.HOG0000155	2	0.00304223	0.0025	0.0025	2	0.0753093060785368	26.5571428571429
GO:1905268	negative regulation of chromatin organization	BP	N0.HOG0000814	2	0.00304223	0.0025	0.0025	2	0.0753093060785368	26.5571428571429
GO:0032100	positive regulation of appetite	BP	N0.HOG0000114	6	2.43212e-08	0.0033	0.0033	1	0.00322754168908015	309.833333333333
GO:1902321	methyl-branched fatty acid biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	0.0033	0.0033	1	0.00322754168908015	309.833333333333
GO:0019367	fatty acid elongation, saturated fatty acid	BP	N0.HOG0000162	2	0.00695568	0.0056	0.0056	1	0.00537923614846692	185.9
GO:0034625	fatty acid elongation, monounsaturated fatty acid	BP	N0.HOG0000162	2	0.00695568	0.0056	0.0056	1	0.00537923614846692	185.9
GO:0034626	fatty acid elongation, polyunsaturated fatty acid	BP	N0.HOG0000162	2	0.00695568	0.0056	0.0056	1	0.00537923614846692	185.9
GO:0030223	neutrophil differentiation	BP	N0.HOG0000114	6	2.43212e-08	0.0067	0.0067	1	0.0064550833781603	154.916666666667
GO:0042572	retinol metabolic process	BP	N0.HOG0000814	2	0.00304223	0.0067	0.0067	1	0.0064550833781603	154.916666666667
GO:0042574	retinal metabolic process	BP	N0.HOG0000814	2	0.00304223	0.0067	0.0067	1	0.0064550833781603	154.916666666667
GO:0006591	ornithine metabolic process	BP	N0.HOG0000504	3	8.39423e-05	0.0078	0.0078	1	0.00753093060785368	132.785714285714
GO:2000435	negative regulation of protein neddylation	BP	N0.HOG0000042	3	0.00101874	0.0078	0.0078	1	0.00753093060785368	132.785714285714
GO:0008611	ether lipid biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	0.0089	0.0089	1	0.00860677783754707	116.1875
GO:0042761	very long-chain fatty acid biosynthetic process	BP	N0.HOG0000162	2	0.00695568	0.0089	0.0089	1	0.00860677783754707	116.1875
GO:0006723	cuticle hydrocarbon biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	0.01	0.01	1	0.00968262506724045	103.277777777778
GO:0071329	cellular response to sucrose stimulus	BP	N0.HOG0000114	6	2.43212e-08	0.01	0.01	1	0.00968262506724045	103.277777777778
GO:0090557	establishment of endothelial intestinal barrier	BP	N0.HOG0000114	6	2.43212e-08	0.0122	0.0122	1	0.0118343195266272	84.5
GO:1904667	negative regulation of ubiquitin protein ligase activity	BP	N0.HOG0000042	3	0.00101874	0.0122	0.0122	1	0.0118343195266272	84.5
GO:2001251	negative regulation of chromosome organization	BP	N0.HOG0000155	2	0.00304223	0.0136	0.0136	2	0.178590640129102	11.1987951807229
GO:2001251	negative regulation of chromosome organization	BP	N0.HOG0000814	2	0.00304223	0.0136	0.0136	2	0.178590640129102	11.1987951807229
GO:0006089	lactate metabolic process	BP	N0.HOG0000114	6	2.43212e-08	0.0144	0.0144	1	0.013986013986014	71.5
GO:0006521	regulation of amino acid metabolic process	BP	N0.HOG0000504	3	8.39423e-05	0.0144	0.0144	1	0.013986013986014	71.5
